feature,importance
NAME_HOUSING_TYPE_Municipal_apartment,360.5848922729492
FONDKAPREMONT_MODE_not_specified,359.5156059265137
NAME_FAMILY_STATUS_Widow,348.0329990386963
BUREAU_BB_STATUS_5_SUM_MEAN,333.1367073059082
HOUSETYPE_MODE_specific_housing,327.5965042114258
ORGANIZATION_TYPE_Trade__type_6,324.4470024108887
OCCUPATION_TYPE_Cooking_staff,318.1490020751953
CC_SK_DPD_DEF_MAX,291.78690338134766
ORGANIZATION_TYPE_Business_Entity_Type_2,291.6679039001465
ORGANIZATION_TYPE_Medicine,246.45280075073242
AMT_REQ_CREDIT_BUREAU_WEEK,239.84189796447754
WALLSMATERIAL_MODE_Block,232.45209884643555
NAME_TYPE_SUITE_Children,228.25699996948242
ORGANIZATION_TYPE_Government,220.01649856567383
CC_SK_DPD_MAX,214.55019760131836
BUREAU_BB_STATUS_3_SUM_MEAN,209.5020980834961
REG_REGION_NOT_LIVE_REGION,208.20349884033203
CC_SK_DPD_DEF_SUM,202.70409965515137
CC_CNT_DRAWINGS_CURRENT_MIN,193.8292999267578
NAME_HOUSING_TYPE_With_parents,188.48560333251953
OCCUPATION_TYPE_Cleaning_staff,172.6353988647461
BUREAU_CREDIT_DAY_OVERDUE_SUM,164.4058952331543
FONDKAPREMONT_MODE_reg_oper_spec_account,163.26160049438477
ORGANIZATION_TYPE_Hotel,153.00049781799316
NAME_TYPE_SUITE_Other_B,143.7425994873047
BUREAU_CREDIT_DAY_OVERDUE_MEAN,135.67259979248047
EMERGENCYSTATE_MODE_Yes,104.36499786376953
FLAG_DOCUMENT_5,88.54100036621094
CC_AMT_DRAWINGS_CURRENT_MIN,86.10559844970703
ORGANIZATION_TYPE_Transport__type_4,85.96029663085938
FONDKAPREMONT_MODE_org_spec_account,80.75969696044922
BUREAU_CREDIT_DAY_OVERDUE_MAX,64.55780220031738
BUREAU_CNT_CREDIT_PROLONG_MAX,63.981401443481445
ORGANIZATION_TYPE_Restaurant,63.23889923095703
ORGANIZATION_TYPE_Trade__type_7,62.676700592041016
BUREAU_CNT_CREDIT_PROLONG_SUM,60.56880187988281
ORGANIZATION_TYPE_University,53.23320007324219
FLAG_OWN_REALTY_Y,51.27009963989258
NAME_TYPE_SUITE_Other_A,47.36289978027344
ORGANIZATION_TYPE_Industry__type_11,43.202598571777344
NAME_HOUSING_TYPE_Co_op_apartment,39.026100158691406
ORGANIZATION_TYPE_Business_Entity_Type_1,35.35940170288086
FLAG_DOCUMENT_15,15.729900360107422
BUREAU_CNT_CREDIT_PROLONG_MIN,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_17,0.0
CC_SK_DPD_MIN,0.0
FLAG_CONT_MOBILE,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
CC_SK_DPD_DEF_MIN,0.0
BUREAU_AMT_CREDIT_SUM_OVERDUE_MIN,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_OWN_CAR_Y,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Mixed,0.0
HOUSETYPE_MODE_terraced_house,0.0
HOUSETYPE_MODE_block_of_flats,0.0
BUREAU_BB_STATUS_3_SUM_MAX,0.0
BUREAU_BB_STATUS_2_SUM_MAX,0.0
FLAG_DOCUMENT_14,0.0
BUREAU_CREDIT_DAY_OVERDUE_MIN,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
ORGANIZATION_TYPE_Services,0.0
ORGANIZATION_TYPE_Trade__type_1,0.0
ORGANIZATION_TYPE_Telecom,0.0
BUREAU_BB_STATUS_5_SUM_MAX,0.0
WALLSMATERIAL_MODE_Wooden,0.0
ORGANIZATION_TYPE_Transport__type_1,0.0
ORGANIZATION_TYPE_Transport__type_2,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_XNA,0.0
ORGANIZATION_TYPE_Postal,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Security,0.0
ORGANIZATION_TYPE_Insurance,0.0
ORGANIZATION_TYPE_Emergency,0.0
ORGANIZATION_TYPE_Housing,0.0
ORGANIZATION_TYPE_Industry__type_1,0.0
ORGANIZATION_TYPE_Trade__type_3,0.0
ORGANIZATION_TYPE_Trade__type_5,0.0
ORGANIZATION_TYPE_Trade__type_4,0.0
EMERGENCYSTATE_MODE_No,0.0
BUREAU_BB_STATUS_4_SUM_MAX,0.0
ORGANIZATION_TYPE_Industry__type_3,0.0
ORGANIZATION_TYPE_Industry__type_2,0.0
ORGANIZATION_TYPE_Industry__type_13,0.0
ORGANIZATION_TYPE_Industry__type_12,0.0
